train_acc,train_loss,val_acc,val_loss
0.042231578947368426,4.257218,0.0656,4.0418186
0.07757894736842107,3.9121706,0.08039999999999999,3.8434107
0.1128842105263158,3.682884,0.12359999999999999,3.553288
0.15749473684210527,3.4341621,0.16519999999999999,3.4107022
0.2082736842105263,3.1584294,0.22640000000000002,3.1081195
0.2537473684210526,2.9176028,0.2648,2.8610299
0.2938947368421053,2.710061,0.298,2.6839392
0.3280842105263158,2.5484421,0.3264,2.5135145
0.3558315789473684,2.4138486,0.3636,2.3925142
0.3810105263157895,2.3013804,0.36839999999999995,2.3576994
0.40040000000000003,2.2035546,0.39599999999999996,2.2387552
0.4211157894736843,2.1150746,0.3872,2.3106136
0.43568421052631584,2.043587,0.4276,2.12153
0.4566315789473685,1.9702611,0.43200000000000005,2.0680869
0.4678315789473685,1.915151,0.39559999999999995,2.263163
0.48004210526315794,1.8586326,0.4468,1.997559
0.49362105263157896,1.8050349,0.4600000000000001,1.9785514
0.5066526315789475,1.7616758,0.4536,1.9799795
0.5179368421052631,1.71297,0.4592,1.9717302
0.526821052631579,1.6736552,0.46959999999999996,1.945023
0.5352842105263158,1.6327813,0.47800000000000004,1.8525734
0.5476421052631579,1.6019881,0.43799999999999994,2.0299883
0.5526315789473685,1.5685594,0.5007999999999999,1.7951137
0.5588631578947368,1.5376241,0.4964,1.8146586
0.5700842105263157,1.5038567,0.5108,1.7648412
0.5760842105263159,1.4771911,0.4972,1.8222754
0.5814947368421052,1.4523326,0.526,1.7338033
0.5909894736842105,1.4206094,0.5207999999999999,1.7856346
0.5949052631578947,1.4012271,0.5212,1.6986442
0.5993263157894737,1.3689384,0.5268,1.7742103
0.6069052631578948,1.3448483,0.5344,1.7044268
0.6129894736842105,1.3307517,0.5219999999999999,1.7902899
0.6176842105263157,1.3065108,0.5336000000000001,1.7252916
0.6266315789473684,1.2832948,0.5168,1.7541859
0.6298105263157895,1.2668364,0.5328,1.6913339
0.6345473684210525,1.2384952,0.5252,1.764936
0.6392210526315789,1.2251383,0.5508000000000001,1.6750494
0.6429684210526315,1.2059221,0.5508,1.6676182
0.6491157894736841,1.1885535,0.5539999999999999,1.6834723
0.6505894736842105,1.1731472,0.5532,1.6808407
0.6558315789473684,1.1486005,0.5328,1.7684226
0.6639578947368421,1.1254382,0.5528000000000001,1.7224153
0.6700631578947368,1.1126838,0.558,1.6830295
0.6734736842105262,1.0962284,0.5576,1.645971
0.6736421052631579,1.0888784,0.5579999999999999,1.6512741
0.6805684210526315,1.0614344,0.5579999999999999,1.7034502
0.6839368421052632,1.0527213,0.5548,1.6714454
0.6897263157894737,1.0321475,0.5660000000000001,1.6768095
0.6917684210526317,1.020023,0.552,1.7239033
0.6972210526315789,1.0021203,0.5572,1.6869202
0.7001894736842105,0.9937355,0.5671999999999999,1.6603882
0.7071789473684211,0.97432774,0.5608,1.6601639
0.7056,0.96911967,0.57,1.6252185
0.7106947368421053,0.9481831,0.5564,1.6868424
0.7148000000000001,0.9344888,0.5732,1.637854
0.7163578947368421,0.93480504,0.5636,1.6731164
0.7203157894736841,0.91120815,0.5648000000000001,1.6884706
0.724378947368421,0.9021715,0.57,1.6821029
0.7298947368421052,0.8849691,0.572,1.6978678
0.7299368421052632,0.87347007,0.578,1.6673704
0.7332631578947368,0.8632225,0.572,1.6883125
0.7398736842105264,0.848515,0.5732,1.70826
0.7393684210526316,0.8445417,0.5676000000000001,1.7146646
0.7414947368421053,0.83575284,0.5652,1.7095652
0.7469052631578946,0.81653523,0.5744,1.6633637
0.7512421052631579,0.80402637,0.5664,1.7105199
0.7531157894736843,0.79700273,0.5691999999999999,1.7284737
0.757957894736842,0.7807181,0.5720000000000001,1.7209518
0.7596210526315791,0.77936226,0.58,1.7050077
0.7615368421052632,0.767321,0.5704,1.7302616
0.7632631578947369,0.75726396,0.584,1.7119904
0.7683368421052632,0.7446894,0.5751999999999999,1.7255572
0.767263157894737,0.74369615,0.5804,1.7066416
0.7727157894736841,0.73233026,0.5724,1.7370044
0.7754736842105263,0.7211981,0.5836,1.7177876
0.7778315789473684,0.71295184,0.58,1.7155519
0.7789894736842105,0.70387775,0.5756,1.73694
0.7806315789473683,0.7037948,0.5796000000000001,1.7198546
0.7846105263157894,0.6945225,0.5752,1.7340735
0.7870947368421053,0.6868548,0.5756,1.7368026
0.7852210526315789,0.6823506,0.5832,1.7263521
0.7913263157894737,0.6725063,0.5764,1.7365803
0.7915368421052632,0.6717259,0.5771999999999999,1.7396615
0.7913263157894737,0.6643115,0.5764,1.739347
0.7929894736842105,0.65740657,0.5744,1.7537991
0.7956,0.6497096,0.5740000000000001,1.751968
0.7979368421052632,0.6525169,0.5728,1.7663965
0.7993052631578947,0.64108914,0.5723999999999999,1.7648822
0.800442105263158,0.63932747,0.5712,1.7557855
0.8005684210526316,0.63853914,0.57,1.7703842
0.8003789473684211,0.639079,0.5736,1.7590659
0.8023789473684211,0.63239866,0.5708000000000001,1.7610472
0.804821052631579,0.628758,0.5712,1.7804587
0.8033684210526315,0.6294772,0.5747999999999999,1.7545227
0.8029473684210526,0.6323066,0.5771999999999999,1.773221
0.8044210526315789,0.62361264,0.5744,1.7641628
0.803178947368421,0.6252722,0.5748000000000001,1.772867
0.8066736842105263,0.6219281,0.5764,1.7810566
0.8037263157894736,0.6196245,0.5704,1.788559
0.8066947368421054,0.6207327,0.5792,1.7742
